title,price,offer,category,site
"Anker 10000 mAh Zolo Power Bank, 30W High-Speed Portable Charger with Built-In USB-C Cable, Fast Charging Battery Pack for iPhone 16/16 Plus/16 Pro/16 Pro Max/15/14/13 Series, Galaxy, iPad, and More - Black","1,390",N/A,power-banks,noon
MATRIX Matrix N82-20000mAh Power Bank Fast Charging 22.5W With LED Torch - White,699,30% Off,power-banks,noon
JOYROOM 20000 mAh JR-L012 Plus 22.5W mini Power Bank 20000mAh with Dual Cables White,"1,246",N/A,power-banks,noon
"Anker 5000 mAh Anker Portable Charger with Built-in Lightning Connector, MFi Certified, Battery Pack 5,000mAh 12W, Compatible with iPhone 14/14 Pro / 14 Plus / 14 Pro Max, iPhone 13 and 12 Series (Black) A1645H11, A1645 & A1645P11 Black","1,588",N/A,power-banks,noon
"Anker 20000 mAh Anker Power Bank (20K, 30W, Built-In USB-C  Cable)  B2B - UN (excluded CN) Blue","1,999",N/A,power-banks,noon
"Anker 30W 40,000mAh Battery Power Bank, 347 Portable Charger (PowerCore 40K), with USB-C High-Speed Charging, For iPhone 13 / Pro/Pro Max/mini, Samsung Galaxy, iPad, AirPods, and More Black","4,139",34% Off,power-banks,noon
"Anker 10000 mAh Zolo Power Bank, 30W Max Fast Portable Charger with Built-In USB-C and Lightning Cables and MFi Certified 1C1A for iPhone 15/14 Series, MacBook, Galaxy and More Black","1,562",N/A,power-banks,noon
PZX 10400.0 mAh Universal Smart Power Bank For Smart Phones White,280,N/A,power-banks,noon
"Anker 9800 mAh 9800 mAh Power Bank, 533 (PowerCore 30W) with PD 30W Max Output, Power IQ 3.0 Portable Charger, 10,000 mAh Battery Pack for iPhone 14 Series, MacBook, Dell, Microsoft Surface, iPad Pro, and More Serri Bl Blue","1,450",42% Off,power-banks,noon
Recci RECCI RPB-P37 22.5W + PD20W POWER BANK 20000MAH (BUILT-IN TYPE-C + LIGHTNING CABLE) - BLACK,"1,099",63% Off,power-banks,noon
"GREEN LION Green Lion Wireless MagSafe Trio Power Bank, 5000mAh Battery, Fast Charging, LED Power Indicator, PD 20W, Magnetic Charger, Type C Input, Compatible With iPhone/ Apple Watch/ Airpods - Black","2,850",N/A,power-banks,noon
JOYROOM 10000 mAh JR-L017 22.5W Power Bank with Built in 2in1 Cables with SOS light Black,825,N/A,power-banks,noon
"Anker 5000 mAh 5000.0 mAh Anker Portable Charger with Built-in Lightning Connector, MFi Certified, Battery Pack 5,000mAh 12W, Compatible with iPhone 14/14 Pro / 14 Plus / 14 Pro Max, iPhone 13 and 12 Series-Black A1645H11, A1645 & A1645P21 White","1,465",N/A,power-banks,noon
Recci Recci RPB-W26 Armor Series Ultra Thin PD 20W Fast Charging Wireless Powerbank 15W 10000mAh,"1,549",48% Off,power-banks,noon
JOYROOM 10000 mAh JOYROOM JR-PBM01 PD 20W Phone Power Bank Magnetic Wireless Charger with Built-in Cable / Kickstand - White,"1,399",N/A,power-banks,noon
JOYROOM 10000 mAh JR-QP194/195/196 Dazzling Series 22.5W Power Bank Black,570,28% Off,power-banks,noon
JOYROOM 20000 mAh JR-L012 Plus Colorful Series 22.5W mini Power Bank with Dual Cables 20000mAh Purple,"1,317",N/A,power-banks,noon
Xiaomi 10000 mAh Redmi Power Bank Black,730,7% Off,power-banks,noon
Vidvie vidvie powerbank pb773 10000mAh  white,500,N/A,power-banks,noon
"Anker 321 MagGo Battery PowerCore 5K, 5000mAh Power Bank A1616H11 Black Black","1,248",N/A,power-banks,noon
JOYROOM 10000 mAh JR-W050 20W Magnetic Wireless Charger Power Bank Fast Charging For IPhone Samsung Xiaomi Large Capacity Portable Black,"1,111",14% Off,power-banks,noon
Samsung 20000 mAh Super Fast Charge Power Bank dark grey,"1,950",N/A,power-banks,noon
"Anker 10000 mAh MagGo Power Bank, 7.5W With Foldable Stand- White","1,699",32% Off,power-banks,noon
JOYROOM 10000 mAh JR-L016 2.4A Power Bank with Built in 3in1 Cables Black,576,N/A,power-banks,noon
JOYROOM 20000 mAh JR-L012 Plus Colorful Series 22.5W mini Power Bank with Dual Cables 20000mAh Pink,"1,317",N/A,power-banks,noon
JOYROOM 20000 mAh Joyroom power bank 15W 20000mAh PD QC3.0 AFC (JR-T014) Black,990,N/A,power-banks,noon
JOYROOM 10000 mAh JR-PBM08 Pro 20W magnetic wireless power bank 10000mAh GRAY,"1,288",19% Off,power-banks,noon
"Anker Power Bank, USB-C Portable Charger 10000mAh with 20W Power Delivery, 523 Power Bank (PowerCore Slim 10K PD) for iPhone 14 Series / iPhone 13 Series, S20, Pixel 4, and More Black","1,425",N/A,power-banks,noon
Recci RECCI RPB-P26 PD20W + 18W FAST CHARGING POWER BANK 10000MAH - Black,623.80,10% Off,power-banks,noon
WUW Wuw Emergency Power Bank 1500mAh Portable Mini Power Bank Mobile Charger,600,N/A,power-banks,noon
"Anker 5000 mAh Power Bank 621 - With Built-In Lightning Connector, 5,000mAh MFi Certified 12W Portable Charger, Compatible With iPhone 14/14 Pro / 14 Plus / 14 Pro Max, iPhone 13 And 12 Series Blue","1,380",N/A,power-banks,noon
هافيت باور بانك هافيت PB5214  سعة  10000 مللي امبير مدمج بكابل تايب سي  بقوة 35 وات مع شاشة رقمية ذكية,950,20% Off,power-banks,noon
Ugreen 10000 mAh Mini Power Bank Two-Way Fast Charging 30W - White,"1,270",N/A,power-banks,noon
Oraimo 20000 mAh Oraimo OPB-P5201 Traveler Link 20 20000mAh Power Bank Black,"1,100",N/A,power-banks,noon
Recci Recci Sailing Clock Wireless Fast Charging RCW-22 wireless charger with maximum power of 15W,"1,599",20% Off,power-banks,noon
JOYROOM JR-T012 Power Bank,398.95,N/A,power-banks,noon
PZX 20000.0 mAh Portable Power Bank Gold,699,30% Off,power-banks,noon
havit Havit PB90 Power Bank 10000mAh fast charge PD 20 W+ 22.5 W,525,11% Off,power-banks,noon
Anker 10000 mAh Power Bank 22.5W Black,"1,399",N/A,power-banks,noon
Recci Power Bank RPB-P16,999,50% Off,power-banks,noon
"فيدفي شاحن باور بانك 4 في 1 10,000 مللي امبير 4 كابلات مدمجة USB لايتنينج نوع C مايكرو لموبايلات ايفون واندرويد",488,13% Off,power-banks,noon
"Anker 10000 mAh Anker Power Bank, 533 Power Bank (PowerCore 30W), Power IQ 3.0 Portable Charger with PD 30W Max Output, 10,000mAh Battery Pack for iPhone 14 Series, Dell, Microsoft Surface, iPad Pro, and More Black","1,570",31% Off,power-banks,noon
Xiaomi 20000mAh High-Speed Charging Technology Powerbank 18 watt Black,"1,499",N/A,power-banks,noon
JOYROOM 10000.0 mAh JR-T012 Dual Ports Output Portable Power Bank External Battery Charger White,455,N/A,power-banks,noon
majentik Majentik MW-11 Wireless Charger,"1,540",23% Off,power-banks,noon
Anker 10000 mAh PowerCore Slim Power Bank Black,"1,500",N/A,power-banks,noon
Ugreen 10000 mAh UGREEN 10000mAh Two-way Fast Charging Power Bank White 30W White,"1,093",N/A,power-banks,noon
Recci RECCI 10000 mah power bank black,599,40% Off,power-banks,noon
"Recci With the Resi Burton 20000mAh Power Bank, you will say goodbye to charging your devices one by one.",899,55% Off,power-banks,noon
JOYROOM 10000 mAh JOYROOM JR-PBM01 PD 20W PHONE POWER BANK MAGNETIC WIRELESS CHARGER WITH BUILT-IN CABLE / KICKSTAND - Black,"1,342",N/A,power-banks,noon
Anker 10000 mAh Power Bank 10000 mah 15W A1229H15 Slim Ankler Black,"1,250",N/A,power-banks,noon
JOYROOM 10000 mAh Joyroom powerbank 30W with built-in Lightning and USB-C  black cables White JR-PBC06,"1,100",42% Off,power-banks,noon
Samsung 20000 mAh Super Fast Charge Triple Port Power Bank 25W Portable Battery Pack with USB-A and USB-C Port Cosmic Grey,"1,650",N/A,power-banks,noon
majentik Majentik Power Bank MJ-13 10000 MAh mouve,"1,200",14% Off,power-banks,noon
"Anker 10000 mAh Zolo Magnetic Power Bank, Compact 10,000mAh Wireless Portable Charger with 30W Max Fast Charging, Skin-Friendly and Durable Battery Pack, for iPhone 16/15/14 Series, White","1,751",N/A,power-banks,noon
"Cellularline 5000mAh Magnetic Battery (Mag),  Foldable Magnetic Wireless Portable Charger and USB-C for iphone 13 , iphone 12 pro max ,iPhone 14 Pro Max/14/13 ,iPhone 15 Pro Max,,iPhone 16 Pro MaxSeries","1,167",N/A,power-banks,noon
JOYROOM 10000 mAh JOYROOM Fast Charging Power Bank 10000mAh 22.5W JR-PBF15 Black,534.05,N/A,power-banks,noon
havit Havit Fast Power Bank PB5214 10000mAh 35W built-in USB-C cable with smart digital display - purple,950,N/A,power-banks,noon
majentik Majentik Power Bank MJ-13 10000 MAh,"1,100",26% Off,power-banks,noon
HUAWEI 10000.0 mAh Quick Charge Micro-B Power Bank White,"1,250",N/A,power-banks,noon
havit Havit Fast Power Bank  PB5214 10000mAh 35W built-in USB-C cable with smart digital display- pink,950,20% Off,power-banks,noon
Samsung 10000 mAh Wireless Battery Pack Power Bank Silver,"1,599",15% Off,power-banks,noon
majentik Majentik Power Bank MJ-13 10000 MAh yellow,999,28% Off,power-banks,noon
JOYROOM 20000 mAh JR-QP195 Dazzling Series 22.5W Power Bank White,877,N/A,power-banks,noon
"Anker 10000 mAh Power Bank, 10,000mAh Portable Charger with Built-in USB-C Cable and Lanyard, 22.5W Max Output with 2 USB-C and 1 USB-A Port, Battery Pack for iPhone 15/14, Galaxy S23, iPad, AirPods, and More White","1,219",39% Off,power-banks,noon
"Cellularline 10000 mAh Power Bank Battery 20W for 2 Ports High-Speed Charging Portable Charger, 1 USB-C, 1 USB-A, For iPhone 15/15 Plus/15 Pro/15 Pro Max, MacBook",939,N/A,power-banks,noon
JOYROOM 10000 mAh 10000 mAh 22.5W Fast Charging Powerbank JR-QP194 Suitable For Apple Huawei Samsung Xiaomi Vivo Oppo Etc White,640,N/A,power-banks,noon
Xiaomi 20000 mAh Redmi 18W Fast Charging Power Bank Black,"1,699",N/A,power-banks,noon
"Baseus 30000 mAh Laptop Power Bank, USB-C PD 65W Portable Charger for Laptops, 7-Port Fast Charging, Smart LED Display, PD3.0, QC4.0, SCP, Compatible with MacBook Pro/Air, Dell XPS, ASUS, Chromebook, ThinkPad, Spectre, iPad Pro, iPhone 16 Pro/Max/Plus, 15/14/13/12 Series, Samsung Galaxy S24/S23, Steam Deck, ROG Ally, and More White","4,999",N/A,power-banks,noon
JOYROOM 10000 mAh 10000mAh 30W Fast Charging Power Bank And Storage Bag With Percentage Battery Display LED Flashlight Black,"1,222",N/A,power-banks,noon
MATRIX S20-20000mAh Power Bank Fast Charging 22.5W- Black,599,36% Off,power-banks,noon
MATRIX S10-10000mAh Power Bank Fast Charging 22.5W- Black,450,30% Off,power-banks,noon
Recci Recci ARMOR 10000mAh Wireless Power Bank RPB-W26,"2,299",42% Off,power-banks,noon
LANEX N10 Fast charging power bank,999,50% Off,power-banks,noon
Recci Recci ARMOR 10000mAh Wireless Power Bank RPB-W26,"2,299",42% Off,power-banks,noon
