title,price,offer
"Anker 5000 mAh Nano Power Bank, Power Bank 22.5 W, Integrated Foldable USB-C Connector, Compatible With iPhone 15 Series, Samsung S22/23 Series, Note 20/10 Series, LG, Huawei, iPad ProAir, AirPods Black","1,299",7% Off
JOYROOM 20000 mAh JR-PBF14 20000mAh 2.4A LED Power Bank Black,656,6% Off
"JOYROOM 10000 mAh JR-PBF12 2.4A LED Power Bank with 3 Ports, Fast Charging for iPhone 15 14 13 Pro, Huawei, iPad Pro/Air, Samsung Galaxy and Plus Encore - White",379,N/A
Anker 10000 mAh Nano Power Bank Portable Charger With Built-In USB-C Cable PD 30W Output Sky,"1,699",10% Off
"Anker 12000 mAh Prime Power Bank, 12,000mAh 2-Port Portable Charger with 130W Output, Smart Digital Display, Compatible with iPhone 14/13 Series, Samsung, MacBook, Dell, and More Black","3,299",25% Off
Anker 20000 mAh A1384H11 Powercore Power bank 20000mAh 30W Portable Charger with USB C Cable Lanyard-black Black,"1,999",N/A
JOYROOM 10000 mAh 20W PD3.0 Fast Charging Power Bank Magnetic Wireless Charger External Battery Pack With Ring Holder Kickstand Black,856,27% Off
"Anker 9800 mAh Power Bank, 533 Power Bank (PowerCore 30W), Power IQ 3.0 Portable Charger with PD 30W Max Output, Pack for iPhone 14 Series, Dell, Microsoft Surface, iPad Pro, and More - Black","1,559",9% Off
"Energizer 50000 mAh 50000 mAh Energizer ultimate power bank for IOS , Andriod &More  , 4 Ports ( 3 USB-A , 1USB-C )  ports for all your devices - 65W Fast Charging  , 65W USB for USB C laptops , tablets , smartphones & more  - 22.5W USB-A for android device Black","2,998",20% Off
JOYROOM 5000 mAh JR-PBF13 2.4A LED Power Bank 5000mAh Black,299,N/A
"Anker 10000 mAh Anker Zolo Magnetic Power Bank, Wireless Portable Charger with 30W Max Fast Charging, Battery Pack with Built-in USB-C Cable and Adjustable Stand, for iPhone 16/15 Series, AirPods, and More Black","1,755",7% Off
Energizer 10000 mAh Energizer Power bank 10000mAh  UE10021 Black,579,10% Off
majentik Majentik Power Bank MJ-13 10000 MAh black,"1,150",23% Off
