name,price,Original Price,category,site
Canon i-SENSYS LBP246dw,"11,499..00",N/A,Printers & Supplies,amazon
"UltraTech 1 Pack PrinterPro™ Compatible Black Toner Cartridge for HP 17A (CF217A)/hp 17a/cf217a - HP Printer Laserjet Pro M102a, M102w, MFP M130a, MFP M130fn, MFP M130fw, MFP M130nw",275..00,N/A,Printers & Supplies,amazon
"CANON PG-460 Black Genuine Ink Cartridge, Prints Up to 180 A4 Pages","1,799..00",N/A,Printers & Supplies,amazon
Replacement Toner Cartridge Compatible for Brother (Black),210..00,EGP 219.99,Printers & Supplies,amazon
"HP 653 Tri-color Original Ink Advantage Cartridge, 3YM74AE",N/A,N/A,Printers & Supplies,amazon
W1500A 150A Toner Cartridge with Chip Compatible for HP Laserjet M111w M111a M141a M141w Black,"1,194..00",N/A,Printers & Supplies,amazon
X-Printer D200 7.8mm Auto Cutter Bill Printer,"2,399..00",N/A,Printers & Supplies,amazon
"HP LaserJet Pro 4003dn Printer -Duplex, Ethernet port, Print: up to 42 ppm black, Hi-Speed USB 2.0, White- [2Z609A]","11,150..00",N/A,Printers & Supplies,amazon
"HP LaserJet Pro MFP 4103fdn Printer (2Z628A), Print, copy, scan, fax, white","18,690..00","EGP 25,899.00",Printers & Supplies,amazon
"Premium and high-quality universal toner, suitable for all HP laser printers (800 grams)",480..00,N/A,Printers & Supplies,amazon
"Compatible 44A Laser Toner Cartridge (Black, HP CF244A)",334..00,EGP 360.00,Printers & Supplies,amazon
Toner Cartridge 507a Ce 400a Compatible with Printer Hp Laser Color M500/ M551 / Mfp575dn (Black),"2,250..00",N/A,Printers & Supplies,amazon
"esun PLA Pro (PLA Plus) 3D Printer Filament, 1.75mm, 1kg, White","1,030..00",N/A,Printers & Supplies,amazon
"BROTHER - BT5000Y, Yellow Inks, Up to 5000 Pages","1,000..00",N/A,Printers & Supplies,amazon
TONER EXPERTE TN1050 Toner Cartridge Replacement for Brother TN 1050 Compatible with HL-1110 HL-1112 HL-1210W HL-1212W DCP-1512 DCP-1610W DCP-1612W MFC-1910W ( 1 Black ),239..00,EGP 260.00,Printers & Supplies,amazon
toner MLT-D101S Compatible for samsung ML-2165W SCX-3400F SCX-3400FW SCX-3405FW SF-760P,305..00,N/A,Printers & Supplies,amazon
Toner 3020 Cartridge Compatible For Xerox 3025 Phaser WorkCentre WC3025 Cartridges,400..00,EGP 429.00,Printers & Supplies,amazon
