name,price,Original Price,category,site
"TP-Link C310 Tapo Outdoor Smart Security Camera with Night Vision Mode, 3 MP","2,100..00",N/A,Camera,amazon
Ugreen HDMI Cable Right Angle 90 Degree 2M - HD103 - Black,257..74,N/A,Camera,amazon
K9 Dual Wireless Microphone - Omnidirectional Microphone Plug and Play for Interview and Live Streaming YouTube Video Compatible with All Phones - Hypercardioid - Black,280..00,N/A,Camera,amazon
"TP-Link Tapo Pan/Tilt 1080p Resolution, 360°Rotational View Security Camera|Motion Tracking |Motion & Baby Crying Detection| 2-Way Audio | Night Vision | Works with Alexa & Google Home (Tapo C200)",N/A,N/A,Camera,amazon
Hikvision HIKSEMI - Micro Card 32GB,149..00,N/A,Camera,amazon
"YUWAKAYI 7 in 1 Electronic Cleaner Kit, Keyboard Cleaner Kit with Brush, 3 in 1 Cleaning Pen for Airpods Pro, Multifunctional Cleaning Kit for Earphone, Keyboard, Laptop, Phone, PC Monitor(Blue)",125..00,EGP 134.55,Camera,amazon
SanDisk Ultra microSDXC 128GB 100MB/s Class 10 UHS-I,610..00,N/A,Camera,amazon
"Tapo TP-Link 1080p Full HD Outdoor Pan/Tilt Security Wi-Fi Camera, 360° Motion Detection, IP65 Weatherproof, Night Vision, Cloud &SD Card Storage, Works with Alexa&Google Home (C500) White",N/A,N/A,Camera,amazon
"K9 Dual Wireless Microphone Works, Digital Mini Lavalier Microphones, Lapel Clip-on Collar Microphone",275..00,EGP 330.00,Camera,amazon
"BOYA Omic-U Wireless Lavalier Microphone for USB-C Android Smartphone, iPhone 15 Series, Magnetic Back Clip, Portable Soft Charging Case,Plug Play Mini Lapel Mics","3,600..00",N/A,Camera,amazon
"Anker eufy Security Indoor Camera C220 with 2K Clarity, 360° Horizontal View, AI Monitoring and Motion Detection, Two-Way Audio, Anker Turkey Guaranteed","1,520..00","EGP 1,580.00",Camera,amazon
BOYA BY-V20 Ultracompact Wireless Microphone System for USB-C Devices (2.4 GHz) - Black,"1,943..00","EGP 2,103.00",Camera,amazon
"Xiaomi Smart Camera C300 2K Ultra HD with 360° Pan-Tilt-Zoom, AI Human Detection, F1.4 Large Aperture, 6P Lens, Two-Way Audio, Night Vision - White |6 month manufacturer warranty","2,415..00",N/A,Camera,amazon
EZVIZ C1C-B HD Resolution Indoor Wi-Fi Security Camera - 1080 Pixels,895..00,N/A,Camera,amazon
Godox ms200 monolight studio flash,"4,129..65",N/A,Camera,amazon
SanDisk Extreme microSDXC UHS-I CARD 64GB,419..00,N/A,Camera,amazon
"Tapo TP-Link 2K Indoor Security Camera for Baby Monitor, Dog Camera w/Motion Detection, 2-Way Audio Siren, Night Vision, Cloud &SD Card Storage (Up to 256 GB), Works with Alexa & Google Home (C110)",999..00,N/A,Camera,amazon
EZVIZ C8C 1080P Wifi Smart Home Outdoor Security Camera Color Night Vision 360 Degree IP65 Dust and Water Protection AI-Powered Human Detection Active Defense EZVIZ Cloud/SD Card Storage,"3,100..00",N/A,Camera,amazon
20 in 1 Multifunctional Electronics Cleaning Kit 2024 New Upgrade Cleaner Keyboard Cleaner Kit Airpod Pro Cleaning Pen Brush Tools for Earbuds/MacBook/Headphone/Earphones/iPad/iPhone,195..00,EGP 217.00,Camera,amazon
"IVANKY 4K HDMI Cable 6ft, 18Gbps High Speed HDMI 2.0 Cable, Supports 4K@60Hz, HDCP 2.2, 1080p, Ethernet, ARC, 3D, HDMI Cord for Gaming Monitor, PS4/PS3, PC",170..00,EGP 28.33,Camera,amazon
"4K DisplayPort to HDMI Cable, DP to HDMI Cord Male to Male for PC, Desktop to Monitor, Projector, TV (1.8M)",127..00,N/A,Camera,amazon
HiLook by Hikvision THC-T120-PC 2mp Indoor HD 20 meter IR night vision EXIR Bullet 4-in-1 Camera – White,368..00,N/A,Camera,amazon
fosa Mini Projector Portable 1080P LED Projector Home Cinema Theater Indoor/Outdoor Movie projectors Support Laptop PC Smartphone HDMI Input,998..00,N/A,Camera,amazon
"Tosuny LED Ring Light, Portable Metal Photography LED Ring Fill Light with Tripod, Dimmable LED Lighting for Indoor Fill Light, Portrait, Fashion, Advertising Photography, USB",299..00,N/A,Camera,amazon
"GODOX V1 Pro F V1Pro F Round Head Flash Speedlite Compatible for Fujifilm, 2.4G Wireless TTL Speedlight HSS Strobe for Fuji, 1/8000s, 2980mAh Li-ion Battery, Detachable Sub Flash Support Type-C","10,511..95",N/A,Camera,amazon
Fujifilm Instax Square SQ40 Instant Film Camera,"6,821..00","EGP 7,650.00",Camera,amazon
"USB C to HDMI Cable 4k 6ft, USBC to HDMI Adapter for Monitor, HDMI to USB C Male ChromeBook, USB-C to HDMI Cable for Mac MacBook Pro 2022 iPad 2021 Surface Pro 8 VivoBook Flip 14 Aspire 5 etc",268..00,EGP 320.00,Camera,amazon
"GoPro HERO13 Black Accessory Bundle - Includes The Handler (Floating Hand Grip), 2 Enduro Batteries, 2 Curved Adhesive Mounts, 64GV SanDisk MicroSD Card, Carrying Case, and more","30,999..00",N/A,Camera,amazon
"Lexar High-Performance 633x 128GB microSDXC UHS-I Card with SD Adapter, Up To 100MB/s Read",533..00,N/A,Camera,amazon
H30 Indoor 3MP Smart Wireless Camera,870..00,N/A,Camera,amazon
"Mini Portable Projector 4K 1080P Full HD Support Android 11 & Netflix - WiFi 6, BT 5.0, 180° Rotation, Small Home Theater Projector with Auto Keystone Correction","4,750..00",N/A,Camera,amazon
"Indoor Dome Security Camera, 3 LED Night Vision, White",200..00,N/A,Camera,amazon
Hikvision HIKSEMI - Micro Card 128GB,439..00,N/A,Camera,amazon
Ezviz H6C 2MP Smart Tracking Camera,960..00,N/A,Camera,amazon
Hikvision ds-2ce16d0t-exipf(3.6mm) hd 2mp outdoor camera,401..99,EGP 413.99,Camera,amazon
"Boya BYM1S AUX Microphone with Clear Sound and, Modern Design, Omnidirectional, 3.5mm TRS, Black, for Multi Devices - Clip On, Battery Powered, Compatible with Smartphone, Camcorder, Personal Computer",465..30,EGP 517.00,Camera,amazon
"Bin Laden Stores 19"" 120W Tri-Color LED Photography Lighting Kit Dimmable 2700K-7500K with Remote Control and 2M Stand for TikTok YouTube Live Streaming (1 Pack)","1,650..00",N/A,Camera,amazon
Feiyu SCORP-C 3-Axis Gimbal Stabilizer,"16,219..79",N/A,Camera,amazon
"3 in 1 Wireless Lavalier Microphones for iPhone, iPad, Android, Camera, USB-C Microphone, 7-Hour Battery, Mini Microphone with Noise Reduction for Video Recording, Vlog, YouTube, TikTok","1,299..00",N/A,Camera,amazon
"EZVIZ C3TN COLOR Night Vision,Outdoor Security Camera 1080P CCTV Wi-Fi Camera with Motion Detection, IP67 Waterproof, SD Card(Max 256G),Compatible with Alexa, Google Home,White",N/A,N/A,Camera,amazon
Lexar 256GB Micro SDXC 633x UHSI 95MB/s Memory Card with SD Adapter-,"1,056..00",N/A,Camera,amazon
TDOO Indoor Wireless Mini Security Camera Wifi Battery Operated 2.4Ghz (Black-B),680..00,N/A,Camera,amazon
"Boya BY-V10 USB-C Wireless Mic, Mini Lapel Mic with Noise Reduction Compatible with Android Type-C Smartphone Laptop for Youtube Podcast Facebook Vlogging Recording","1,470..00",N/A,Camera,amazon
EL MADAOY STORES 88W Tri-Color LED Photography Lighting Kit Dimmable 2800K-6500K with Remote Control and 2M Stand for TikTok YouTube Live Streaming (1 Pack),"1,850..00",N/A,Camera,amazon
"Tapo 2K Outdoor Wired Pan/Tilt Security Wi-Fi Camera, 360° View, Motion Tracking, Works w/Alexa & Google Home, Color Night Vision, Free AI Detection, Cloud & SD Card Storage(up to 512GB), Tapo C510W",N/A,N/A,Camera,amazon
LEXAR 64 GB Memory Card For Mobile Phones - Micro SD Cards - LSDMI64GBBEU633A REV,290..00,N/A,Camera,amazon
"SanDisk Extreme Pro microSD UHS I Card 512GB for 4K Video on Smartphones, Action Cams & Drones 200MB/s Read, 140MB/s Write, Lifetime Warranty","2,999..00","EGP 3,399.00",Camera,amazon
"PellKing Mobile Phone Chest Strap Mount,Harness Strap Holder Universal Cell Phone Clip for Action Camera POV Compatible with Gopro Akaso Samsung iPhone etc",400..00,EGP 443.01,Camera,amazon
