name,price,Original Price,category,site
"Sub WS-887 Mini Bluetooth Speaker with Radio – Portable Wireless Subwoofer with AUX Input, Built-in Mic, and Rechargeable Battery for Smartphones, Tablets, and Computers (Black)",119..99,N/A,Speakers,amazon
XO 4001 S 4 Inch Radio Provider casting - Black,805..00,N/A,Speakers,amazon
"Echo (5th Gen) | smart bluetooth speaker with vibrant sound and Alexa | Use your voice to control smart home devices, play music or the Quran, and more (speaks English & Khaleeji) | Charcoal","4,500..00",N/A,Speakers,amazon
"Tiger tg-3100 speaker - black, Bluetooth","1,250..00",N/A,Speakers,amazon
"LG XBOOM RNC5, Party Speaker with Double Super Bass Boost, Multi Color Lighting and Multiple Media Input","12,949..30",N/A,Speakers,amazon
مكبر صوت بلوتوث بارت بوكس PARTBOX110 مع ميكروفون - صوت معزز وجهير عميق، إضاءة RGB مبهجة، بطارية قوية 2400 مللي أمبير، 4 ساعات تشغيل متواصلة,"2,700..00",N/A,Speakers,amazon
"JBL Xtreme 4 Portable waterproof speaker with massive JBL Pro Sound and a convenient shoulder strap, Blue|1 year manufacturer warranty","16,665..95","EGP 19,705.00",Speakers,amazon
Awei Y525 Bluetooth 5.3 Talker Portable TWS Hifi Speaker Wireless USB Outdoor Speaker Mini Music RGB Light Running,"1,479..00",N/A,Speakers,amazon
"Voice Amplifier with Wired Microphone Headset, Portable Rechargeable PA System Speaker Personal Microphone Speech Amplifier, Loudspeaker for Teachers, Tour Guides/Coaches Metting/Yoga/Fitness (White)","2,765..47","EGP 2,851.08",Speakers,amazon
"SE HUB K12 Speaker Machine Bluetooth-Compatible Wireless Karaoke Mic Speaker Multi-Compatibility Modes, RGB Lights | Party POP Bluetooth Speaker with Mic (Beige)",395..00,N/A,Speakers,amazon
"speaker bluetooth GT-122 Portable Speaker with Microphone, Rechargeable Wireless Outdoor Speaker, Soundbar Speaker with Built-in Mic TF MP3, with USB, Micro, SD card outputs (Red)",199..00,N/A,Speakers,amazon
"soundcore Select 4 Go Bluetooth Speaker, Ultra Portable, Up to 20 Hours Playback, IP67 Water and Dust Protection, Floatable, Powerful Sound, for Indoor and Outdoor Hiking and Cycling","1,249..00","EGP 1,333.00",Speakers,amazon
"Sony SRSXG300/B SRS-XG300 X-Series Wireless Portable-Bluetooth Party-Speaker IP67 Waterproof and Dustproof with 25 Hour-Battery and Retractable Handle, Black- New","10,822..74","EGP 20,999.00",Speakers,amazon
"90W Charger for JBL Boombox 2 Boombox 1 Wireless Bluetooth Speaker Replacment for JBL Xtreme 2 Charger 10FT Compatible with JBL Boombox, Xtreme Power Supply Adapter Cord with Portable Bag",900..00,N/A,Speakers,amazon
