name,price,Original Price,category,site
G-Power GP013 Novel Type-C to Lightning Charging Data Cable With Efficient Transfer And Smart Design For Multi Device 1 Meter Length 3.0 A Max Output - Black,84..00,EGP 111.00,PC,amazon
Crucial P3 1TB M.2 PCIe Gen3 NVMe Internal SSD - Up to 3500MB/s - CT1000P3SSD801 (Acronis Edition),N/A,N/A,PC,amazon
"HP Pavilion X360 2-in-1 Laptop 14-EK0012NE (6L8J6EA), Intel Core i3 1215Uz, 12th Generation, 8GB DDR4 3200, 256GB SSD, Windows 11 Home Single Language - Silver","33,600..00",N/A,PC,amazon
"LDNIO LC150 USB-C Female to USB Male Adapter, Mini Size, Suitable For Multiple device, Aluminum Material - Gray",85..00,EGP 98.33,PC,amazon
Kingston 64GB Exodia USB 3.20 Flash - DTX/64GB,N/A,N/A,PC,amazon
"Anti-Theft Laptop Backpack With USB Charging Port & Password Lock, Waterproof Durable Travel Backpack, For College, Business Or School. (Black)",589..99,N/A,PC,amazon
Canon MFP PIXMA G3410,"5,999..00",N/A,PC,amazon
"HP Victus Gaming Laptop 15-fb1004ne, CPU: Ryzen 5-7535HS, 16GB RAM,512GB SSD, Graphics Card: NVIDIA GeForce RTX 2050, VRAM: 4GB, Display: 15.6 FHD Antiglare IPS 250 nits 144Hz, Windows 11","31,399..00","EGP 40,999.00",PC,amazon
Xiaomi Mi TV stick with Bluetooth remote control - Black|1 year manufacturer warranty,"2,450..00",N/A,PC,amazon
"JIALONG AUKEY Gaming Mouse Pad Large XXL (900 X 400 X 4 MM) Thick Extended Mouse Mat Non-Slip Spill-Resistant Desk Pad with Special-Textured Surface, Anti-Fray Stitched Edges for Keyboard, PC - Black",275..00,N/A,PC,amazon
Slendor Laptop Desk Foldable Bed Table Folding Breakfast Tray Portable Lap Standing Desk Notebook Stand Reading Holder for Bed/Couch/Sofa/Floor,160..00,EGP 171.00,PC,amazon
Apple Pencil Pro,"6,880..00","EGP 7,145.00",PC,amazon
"Lenovo IdeaPad Gaming 3 15ARH7 - Ryzen 7 7735HS, NVIDIA GeForce RTX 4050 6GB GDDR6 Graphics,16GB DDR5-4800 RAM, 512GB SSD, 15.6"" FHD (1920x1080) IPS 250nits 120Hz, Backlit Keyboard-2 Years Warranty","48,699..00",N/A,PC,amazon
WESAPPINC World Map Gaming Mouse Pad with Stitched Edges Non-Slip Rubber Base Extended XXL Mousepad for Computer PC Keyboard Laptop,148..00,EGP 160.00,PC,amazon
"Baseus 20W PD Fast Charging USB-C to Lightning Cable, 2M Durable Power & Data Cord (480Mbps) for Apple iPhone 14 Pro Max, 13, 12, 11, XS, XR, X, 8 Plus, 7, 6s and for iPad – Super Flash Series (Black)",319..99,N/A,PC,amazon
CWOWDEFU Touch Tablet for Children 7 Inch Android Tablet PC Child Tablet with WiFi Stylus Kids Tablet (Pink),"4,900..00",N/A,PC,amazon
"APFEN USB C to Lightning Cable 3FT 2Pack [Apple MFi Certified], Power Delivery iPhone Cables Type C iPhone Charger Cord Fast Charging Compatible iPhone 14 13 12 11 Pro Max X XS XR 8 7 6s Plus SE",218..00,N/A,PC,amazon
"NJSJ PC Speakers,Mini Desktop Speaker for PC with Colorful LED Light,Stereo 2.0 USB Powered 3.5mm Aux Portable Gaming Multimedia Speaker for Computer Laptop Monitor,Tablets,Music Player",259..80,EGP 322.00,PC,amazon
SanDisk Ultra Dual Drive Go USB Type-C Flash Drive 32GB,220..07,EGP 443.00,PC,amazon
"TP-Link AC1750 WiFi Extender (RE450), PCMag Editor's Choice, Up to 1750Mbps, Dual Band WiFi Repeater, Internet Booster, Extend WiFi Range further","3,090..00","EGP 3,509.00",PC,amazon
Laptop Backpack for Men and Women with 17.3inch Computer Compartment Travel Laptop Backpack Water Resistant Backpacks with USB Charging Port-Black,215..00,EGP 237.00,PC,amazon
"SAMSUNG Odyssey G50D, 27-Inch Fast IPS panel, 2K QHD (2560 x 1440), Refresh Rate 180Hz & Response Time 1ms(GTG) Gaming Computer Monitor, AMD FreeSync, G-Sync Compatible","13,199..00",N/A,PC,amazon
TP-Link 300Mbps Wi-Fi Range Extender (TL-WA855RE),795..00,N/A,PC,amazon
Joyroom S-CL020A10 Extraordinary Series 20W Type-C to Lightning Fast Charging Data Cable 1.2m-Black|12 Months Warranty,224..09,N/A,PC,amazon
"Logitech M171 Wireless Mouse 2.4 Ghz wireless Wireless range, Black",520..00,EGP 655.18,PC,amazon
"Generic Type-C USB Male to USB Female Converter,Assorted Colors",28..99,EGP 50.00,PC,amazon
"EFISH Japanese Cherry Blossom Mouse Pad (31.5 × 11.8 × 0.12 inch) Extended Large Mouse Mat Desk Pad, Stitched Edges Mousepad,Non-Slip Rubber Base,Keyboard Pad,Gaming Mouse Pad XL",150..00,EGP 169.00,PC,amazon
Mouse Wired Gaming Color LED Light DPI Control - Black,59..00,EGP 69.00,PC,amazon
Hikvision HIKSEMI Metal USB Flash Drive 16GB with 5 years warranty support | HS-USB-M200 16G |,117..00,N/A,PC,amazon
UGREEN Type-C To USB-A 3.0 Converter Adapter With Lanyard – (Space Gray),N/A,N/A,PC,amazon
"Hp Laserjet Mfp M141W Printer Wireless Print, Copy, Scan, White (7Md74A)","7,445..00","EGP 7,990.00",PC,amazon
"ATTACK SHARK X11 Lightweight Wireless Gaming Mouse with Anti Slip Mouse Grip Tape, Self Adhesive Design Elastics Refined Side Grips Sticker Sweat Resistant Pads/Anti Sweat Paste, Cut to Fit (Black)","1,699..00",N/A,PC,amazon
Joyroom SY-20H1 HDMI to HDMI cable (4K@60Hz) -2m-gray|12 Months Warranty,169..00,EGP 259.33,PC,amazon
"Widousy Laptop Bed Table, Breakfast Tray with Foldable Legs, Portable Lap Standing Desk, Notebook Stand Reading Holder for Couch Sofa Floor Kids - Standard Size",229..99,N/A,PC,amazon
"Anker 322 USB-C Lightning Cable [ 6 ft MFi Certified] Powerline II for iPhone 13,13 Pro 12 Pro Max 12 11 X XS XR 8 Plus, AirPods Pro, Black + 18 Momths Local Warranty",699..00,EGP 859.00,PC,amazon
Hikvision 256GB Internal Laptop Hard Disk - HS-SSD-E100/256G,980..00,N/A,PC,amazon
REDRAGON K617 Fizz RGB White-Grey Mechanical Tournament Keyboard 60% TKL | RED-K617WG-RGB,"1,499..00","EGP 1,769.00",PC,amazon
HIKSEMI ®/Flash Drive CLASSIC 3.0 16GB,169..00,N/A,PC,amazon
"Multi USB Charging Cable 4-in-1 Universal: 1.2 m Fast Charging Cable with USB A/USB C to 65 W Type C+ 27 W PD, Nylon Braided Multiple Ports Cable Compatible with iPhone Android Samsung Galaxy",89..99,N/A,PC,amazon
WiWU Wi-P01 Passive Stylus Pen with Dual Functionality | Aluminum Alloy Body & Fabric Tip | Magnetic Cover | Black | 18-Month Warranty,157..50,EGP 175.00,PC,amazon
"ASUS Vivobook S 14 Flip, AMD Ryzen 7 7730U, 8GB DDR4 on board AMD Radeon Graphics, 15.6"" (1920 x 1200) 16:10 IPS 300 Nits, 512GB SSD, Windows 11 (TN3402YA-LZ007W) 1 Year Perfect Warranty by ASUS","26,981..04",N/A,PC,amazon
Bluetooth V5.0 USB Dongle for PC Laptop for Windows 11/10/8.1/7/Mouse/Keyboard/Printers/Headphones/Speakers/Controller,149..80,EGP 154.80,PC,amazon
Generic Newlight 8.5 Inch digital drawing Tablet handwriting Pads LCD Writing board Electronic graphic Tablet Board - Assorted color,63..00,EGP 88.00,PC,amazon
"LUPO 2.5 Inch HDD Enclosure - Hard Disk Drive External Case Caddy - USB 3.0 SATA, for HDD, Solid State Drive SSD - Tool Free - CLEAR",170..00,EGP 202.00,PC,amazon
Joyroom S-Ul012A9 2.4A Usb-A To Lightning Fast Charging Data Cable With 1M Length - White|12 Months Warranty,65..00,N/A,PC,amazon
"Anker PowerLine III Flow, USB C to Lightning Cable for iPhone 13 13 Pro 12 11 X XS XR 8 Plus [MFi Certified, 3ft, Midnight Black] Supports Power Delivery, Silicone Cable (Charger Not Included)",615..00,EGP 634.00,PC,amazon
"Cellphone cable protector 4 in 1, mini cute colorful charging data line cord spiral silicone winder protection cover for phone",15..94,EGP 39.00,PC,amazon
"AUKEY Gaming Mouse Pad Large XXL (900 X 400 X 3 MM) Thick Extended Mouse Mat Non-Slip Spill-Resistant Desk Pad with Special-Textured Surface, Anti-Fray Stitched Edges for Keyboard, PC - Black",240..00,N/A,PC,amazon
Wireless Bluetooth Mouse for MacBook Pro/Air/Mac/iPad/Laptop/Desktop/Mac/PC/Computer/Phone-Portable Slim Silent Office Mice with USB-C Adapter 2.4 GHz USB Mice (Black),220..00,EGP 232.00,PC,amazon
"Gaming Keyboard and Mouse Set, RGB Multi-Light, sk500",319..90,N/A,PC,amazon
"Apple 2023 MacBook Pro (14-inch, Apple M3 Pro chip with 11‑core CPU and 14‑core GPU, 18GB Unified Memory, 512GB) - Silver; English","104,799..00",N/A,PC,amazon
Lexar Jump Drive E21 USB 2.0 16GB Flash Drive,133..68,N/A,PC,amazon
"DELL G15 5530 Gaming Laptop - 13th Intel Core i7-13650HX, NVIDIA GeForce RTX 3050 6GB GDDR6, 16GB DDR5-4800 MHz RAM, 512GB SSD, 15.6"" FHD 120Hz, 4Z RGB Backlit, Ubuntu - International Warranty","51,720..00",N/A,PC,amazon
"Zeru Rechargeable Wireless Mouse for MacBook Pro/Air,Bluetooth Mouse for Laptop/PC/Mac/iPad pro/Computer",139..40,EGP 245.00,PC,amazon
"LENOK USB C Charger Cable 60W type C to type C Cable PD 3.0(6.5ft/2m), Compatible with iPhone 15/15 Pro/Samsung Galaxy S23/22/Z Fold/Z Flip/Google Pixel 7/MacBook Air iPad Pro/Mini iPad 10, etc. (2 M)",249..99,N/A,PC,amazon
Kingston NV2 NVMe PCIe 4.0 SSD 1000G M.2 2280 SNV2S/1000G,"2,871..00","EGP 3,035.00",PC,amazon
G-Power LS442 Charge And Sync Type C To USB Fast Charging Data Cable With 2.4 A Current And 200 CM Length - Grey,78..00,EGP 90.00,PC,amazon
TISOFU 【Ultra Certified 10K 8K HDMI Cable 3FT: HDMI 2.1 Cables 48Gbps High Speed Premium Braided Cord 8K@60Hz 4K@120Hz 4K@144Hz HDCP 2.2&2.3 CL3 ARC eARC for HD/HDR/HDTV,199..00,N/A,PC,amazon
