title,price,original_price,category,site
"Tosuny LED Ring Light, Portable Metal Photography LED Ring Fill Light with Tripod, Dimmable LED Lighting for Indoor Fill Light, Portrait, Fashion, Advertising Photography, USB",299..00,,Camera,amazon
"GODOX V1 Pro F V1Pro F Round Head Flash Speedlite Compatible for Fujifilm, 2.4G Wireless TTL Speedlight HSS Strobe for Fuji, 1/8000s, 2980mAh Li-ion Battery, Detachable Sub Flash Support Type-C","10,511..95",,Camera,amazon
Fujifilm Instax Square SQ40 Instant Film Camera,"6,821..00","EGP 7,650.00",Camera,amazon
"USB C to HDMI Cable 4k 6ft, USBC to HDMI Adapter for Monitor, HDMI to USB C Male ChromeBook, USB-C to HDMI Cable for Mac MacBook Pro 2022 iPad 2021 Surface Pro 8 VivoBook Flip 14 Aspire 5 etc",268..00,EGP 320.00,Camera,amazon
"GoPro HERO13 Black Accessory Bundle - Includes The Handler (Floating Hand Grip), 2 Enduro Batteries, 2 Curved Adhesive Mounts, 64GV SanDisk MicroSD Card, Carrying Case, and more","30,999..00",,Camera,amazon
"Lexar High-Performance 633x 128GB microSDXC UHS-I Card with SD Adapter, Up To 100MB/s Read",533..00,,Camera,amazon
H30 Indoor 3MP Smart Wireless Camera,870..00,,Camera,amazon
"Mini Portable Projector 4K 1080P Full HD Support Android 11 & Netflix - WiFi 6, BT 5.0, 180° Rotation, Small Home Theater Projector with Auto Keystone Correction","4,750..00",,Camera,amazon
"Indoor Dome Security Camera, 3 LED Night Vision, White",200..00,,Camera,amazon
Hikvision HIKSEMI - Micro Card 128GB,439..00,,Camera,amazon
Ezviz H6C 2MP Smart Tracking Camera,960..00,,Camera,amazon
Hikvision ds-2ce16d0t-exipf(3.6mm) hd 2mp outdoor camera,401..99,EGP 413.99,Camera,amazon
"Boya BYM1S AUX Microphone with Clear Sound and, Modern Design, Omnidirectional, 3.5mm TRS, Black, for Multi Devices - Clip On, Battery Powered, Compatible with Smartphone, Camcorder, Personal Computer",465..30,EGP 517.00,Camera,amazon
"Bin Laden Stores 19"" 120W Tri-Color LED Photography Lighting Kit Dimmable 2700K-7500K with Remote Control and 2M Stand for TikTok YouTube Live Streaming (1 Pack)","1,650..00",,Camera,amazon
Feiyu SCORP-C 3-Axis Gimbal Stabilizer,"16,219..79",,Camera,amazon
